| Time of Day | Number of Registrations |
|-------------|-------------------------|
|    1:00     |             1           |
|   10:00     |             1           |
|   11:00     |             2           |
|   13:00     |             3           |
|   15:00     |             1           |
|   16:00     |             3           |
|   17:00     |             1           |
|   18:00     |             1           |
|   19:00     |             2           |
|   20:00     |             2           |
|   21:00     |             2           |
